scanpath,saccade_length,ID,Ontologies,Visualization,Task_Success,Time_On_Task
917590.0682903097,160.8114385366824,p34,1,2,0.608695652,38
351797.1615215683,165.16298662984428,p10,1,2,0.608695652,17
425933.7647686193,136.1245652823967,p32,1,2,0.304347826,21
486544.57949089794,111.90077725181645,p20,1,2,0.39130434799999997,30
712853.2449534081,147.31416510713126,p16,1,2,0.52173913,28
549868.3145815742,127.9954177331411,p6,1,2,0.869565217,26
439638.3117108061,176.98804819275608,p18,1,2,0.739130435,21
137502.71145922603,227.65349579342057,p4,1,2,0.39130434799999997,12
178873.1483701691,153.53918315035975,p2,1,2,0.347826087,19
174510.74319112013,170.7541518504111,p28,1,2,0.52173913,10
567952.5145913439,145.8532394944386,p30,1,2,0.39130434799999997,23
291355.8600614613,130.47732201588056,p14,1,2,0.52173913,15
427496.4564644619,169.5741596447687,p24,1,2,0.565217391,32
411874.250624201,118.18486388068897,p36,1,2,0.434782609,21
280861.81839645666,120.4381725542267,p12,1,2,0.304347826,17
